KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dlgTCHolyStatue,Oh {PlayerName}. I see you have the holy statue of our people. Do you want to give it to me?,Oh {PlayerName}. Ich sehe du hast eine heilige Statue unseres Volkes. Möchtest du sie mir geben?,Oh {PlayerName}. Je vois que vous possédez la sainte statue de notre peuple. Pouvez-vous nous la remettre?,Ah {PlayerName}. Vedo che hai trovato la statua sacra del nostro popolo. Vuoi consegnarmela?,Oh {PlayerName}. Veo que tienes la estatua sagrada de nuestro pueblo. ¿Quieres dármela?,,,,"О {PlayerName}. Я вижу, у вас есть священная статуя нашего народа. Ты хочешь отдать ее мне?",おお{PlayerName}。我々の民の聖なる像を持っているようだな。それを私に渡したいか？,哦{PlayerName}。我看到你持有我们族人的圣像。你想把它给我吗？,,,Oh {PlayerName}. Halkımızın kutsal heykeline sahip olduğunuzu görüyorum. Onu bana vermek ister misin?,,Oh {PlayerName}. Ik zie dat je het heilige standbeeld van ons volk hebt. Wil je het mij geven?,
dlgTCBadRepu,You need a friendly reputation or better to the Talon then I will talk to you.,"Du benötigst eine freundliche Beziehung oder besser zu den Talon, dann werde ich mit dir reden.",Je pourrai vous parler une fois que votre réputation auprès des Talons sera 'Amicale' ou meilleure.,Parlerò con te una volta che la tua reputazione con i Talon sarà amichevole o superiore.,"Necesitas una reputación amistosa o mejor con Talon, entonces hablaré contigo.",,,,"Вам нужна дружеская репутация или выше для Талон, только тогда я поговорю с тобой.",タロンに友好的な評判が必要ならば私が話をしよう。,你至少要在泰隆内有友好的声望我才会告诉你。,,,Talon arasında dostça bir üne ve daha iyisine ihtiyacın var. Ancak o zaman seninle konuşurum.,,,
dlgTCTellMeStory,Tell me the story about your people,Erzähl mir die Geschichte deines Volkes,Racontez-moi l'histoire de votre peuple,Raccontami la storia del tuo popolo,Cuéntame la historia de tu pueblo,,,,Расскажи мне историю о своих людях,お前の人々の話を聞かせてくれ。,告诉我你同伴的故事,,,Bana halkın hakkındaki hikayeyi anlat,,,
dlgTCGreetings,Greetings {PlayerName}. What do you want from me?,Gegrüßt seist du {PlayerName}. Was möchtest du von mir?,Salutations {PlayerName}. Que voulez-vous de moi?,Salve {PlayerName}. Di cosa hai bisogno?,Saludos {PlayerName}. ¿Qué es lo que quieres de mí?,,,,"Приветствую, {PlayerName}. Что ты от меня хочешь?",こんにちは{PlayerName}。私に何をして欲しいのか？,你好{PlayerName}。你想从我这儿得到什么？,,,Selamlar {PlayerName}. Benden ne istiyorsun?,,,
txt_mWeCe,Welcome {PlayerName} to a round of cards!,Willkommen {PlayerName} zu einer Runde Karten!,Bienvenue {PlayerName} à la ronde des cartes!,"Benvenuto, {PlayerName}, al Giro delle Carte!",¡Bienvenido {PlayerName} a una ronda de cartas!,,,,Добро пожаловать {PlayerName} в карточный раунд!,カード勝負にようこそ{PlayerName}！,欢迎{PlayerName}参与扑克大赛！,,,{PlayerName} kart oyununa hoş geldin!,,,
txt_UGmuO,Card Dealer,Kartengeber,Croupier,Mazziere,Distribuidor de cartas,,,,Дилер карт,カードディーラー,发牌人,,,Kart Dağıtıcısı,,,
txt_mq8OK,We will play for <color=#fddc1e>Gold Coins</color>.\nHow many <color=#fddc1e>Gold Coins</color> do you want to bet?,Wir spielen um <color=#fddc1e>Goldmünzen</color>.\nWie viele <color=#fddc1e>Goldmünzen</color> möchtest du setzen?,Nous jouerons pour des <color=#fddc1e>Pièces d'or</color>.\nCombien de <color=#fddc1e>Pièces d'or</color> voulez-vous parier?,Giocheremo per <color=#fddc1e>Monete d'Oro</color>.\nQuante <color=#fddc1e>Monete d'Oro</color> vuoi scommettere?,Jugaremos por <color=#fddc1e>Monedas de Oro</color>.\n¿Cuántas <color=#fddc1e>Monedas de Oro</color> quieres apostar?,,,,Мы будем играть на <color=#fddc1e>Золотые монеты</color>.\nСколько  <color=#fddc1e>Золотых монет</color> вы хотите поставить?,<color=#fddc1e>ゴールドコイン</color>で勝負します。\n何枚の<color=#fddc1e>ゴールドコイン</color>を賭けますか？,我们用<color=#fddc1e>金币</color>下注。\n你想赌多少<color=#fddc1e>金币</color>？,,,<Color=#fddce>Altın Sikke</color> için oynayacağız.\nKaç tane <color=#fddc1e>Altın Sikke</color> ile bahis oynamak istiyorsun?,,,
txt_4WUCq,1 <color=#fddc1e>Gold Coin</color>,1 <color=#fddc1e>Goldmünze</color>,1 <color=#fddc1e>Pièce d'or</color>,1 <color=#fddc1e>Moneta d'Oro</color>,1 <color=#fddc1e>Moneda de Oro</color>,,,,1 <color=#fddc1e>Золотую монету</color>,1 <color=#fddc1e>ゴールドコイン</color>,1 <color=#fddc1e>金币n</color>,,,1 <color=#fddc1e>Altın Sikke</color>,,,
txt_Zi4Gm,10 <color=#fddc1e>Gold Coins</color>,10 <color=#fddc1e>Goldmünzen</color>,10 <color=#fddc1e>Pièces d'or</color>,10 <color=#fddc1e>Monete d'Oro</color>,10 <color=#fddc1e>Monedas de Oro</color>,,,,10 <color=#fddc1e>Золотых монет</color>,10 <color=#fddc1e>ゴールドコイン</color>,10 <color=#fddc1e>金币n</color>,,,10 <color=#fddc1e>Altın Sikke</color>,,,
txt_BxmOu,100 <color=#fddc1e>Gold Coins</color>,100 <color=#fddc1e>Goldmünzen</color>,100 <color=#fddc1e>Pièces d'or</color>,100 <color=#fddc1e>Monete d'Oro</color>,100 <color=#fddc1e>Monedas de Oro</color>,,,,100 <color=#fddc1e>Золотых монет</color>,100 <color=#fddc1e>ゴールドコイン</color>,100 <color=#fddc1e>金币n</color>,,,100 <color=#fddc1e>Altın Sikke</color>,,,
